"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
participant_id,participant_info,,text,"participant ID",,,,,,,,,,,,,
tfirname,participant_info,,text,"<div style=""font-weight:normal"">Student's First Name:

<span style = ""color:green"">Nombre del Estudiante:</span></div>
",,,,,,,,,,,,,
tlasname,participant_info,,text,"<div style=""font-weight:normal"">Student's Last Name:

<span style=""color:green"">Apellido del Estudiante:</span></div>
",,,,,,,,,,,,,
ai1temai,participant_info,,text,"<div style=""font-weight:normal"">Email:

<font color=green>Correo Electronico:</font></div>
",,,email,,,y,,,,,,,
startdt,participant_info,,text,"<div style=""font-weight:normal"">start date of daily surveys</div>",,,date_ymd,,,,,,,,,,
p1inpref,participant_info,,radio,"<div style=""font-weight:normal"">Email invitation
<div style=""font-weight:normal"">SMS invitation (contains survey link)","EMAIL, Email invitation | SMS_INVITE_WEB, SMS invitation (contains survey link)",,,,,,,,,,,,
celmake,participant_info,,text,"<div style=""font-weight:normal"">brand of cell phone
<span style = ""color:green"">marca de teléfono celular</span>

(Example: Apple, Samsung, Google, Motorola)
<span style = ""color:green"">(Por ejemplo: Apple, Samsung, Google, Motorola)</span></div>",,,,,,,,,,,,,
celmodel,participant_info,,text,"<div style=""font-weight:normal"">type of phone model
<span style = ""color:green"">el nombre de modelo de teléfono celular</span>

(Example: iPhone 15 Max Pro, Galaxy S24 Ultra, Pixel 8a, Razr V3)
<span style = ""color:green"">(Por ejemplo: iPhone 15 Max Pro, Galaxy S24 Ultra, Pixel 8a, Razr V3)</span></div>",,,,,,,,,,,,,
phnumber,participant_info,,text,"<div style=""font-weight:normal"">phone number
<span style = ""color:green"">número telefónico</span>",,,phone,,,,,,,,,,
t1date,day_1_monday_daily_survey,,text,"<font size=""5.5"">Today's date</font>
<font size=""5.5""><span style=""color:green"">Fecha de hoy</span></font>",,,date_ymd,,,,,,,,,,
t1strti,day_1_monday_daily_survey,,text,"<font size=""5.5"">Start time:</font>
<font size=""5.5""><span style=""color:green"">Hora de inicio:</span></font>",,,time,,,,,y,RH,,,,
t1dowee,day_1_monday_daily_survey,,radio,"<font size=""5.5"">Today's day of the week
</font> <font size=""5.5""><font color=""green"">Día de la semana de hoy</font>","1, <font size=""4.5""> 1 Monday <br><font color=""green"">Lunes</font> | 2, <font size=""4.5""> 2 Tuesday<br><font color=""green"">Martes</font> | 3, <font size=""4.5""> 3 Wednesday<br><font color=""green"">Miércoles</font> | 4, <font size=""4.5""> 4 Thursday<br><font color=""green"">Jueves</font> | 5, <font size=""4.5""> 5 Friday <br><font color=""green"">Viernes</font> | 6, <font size=""4.5""> 6 Saturday <br><font color=""green"">Sábado</font> | 7, <font size=""4.5""> 7 Sunday <br><font color=""green"">Domingo</font>",,,,,,,,,,,,
t1sexo,day_1_monday_daily_survey,,radio,"<font size=""5.5"">Sex</font>
<font size= ""5.5""font color=""green"">Sexo</font>","1, <font size=""4.5""> 1 Male<br><font color=""green"">Hombre</font> | 2, <font size= ""4.5""> 2 Female<br><font color=""green"">Mujer</font> | 3, <font size= ""4.5""> 3 Other<br><font color=""green"">Otro</font>",,,,,,,,,,,,
t1qsexo,day_1_monday_daily_survey,,text,"<font size=""5.5"">Please specify.
<span style = ""color:green"">Por favor especifique.</span></font>

<font size=""4.5""><span style=""font-weight:normal;"">(Sex)
<span style= ""color:green"">(Sexo)</span></font>",,,,,,,[t1sexo]='3',,,,,,
t1pbar1,day_1_monday_daily_survey,,descriptive,"<div style=""width: 100%; border: 0; margin: 0; padding: 0; background-color: #DCDCDC; text-align: center;""> <font size=""5.5""> 3% complete
<div style=""width: 3%; border: 0; margin: 0; padding: 0; background-color: #228B22;""><span style=""color: #228B22;"">.</span></div>
</div>",,,,,,,"[t1sexo]='1' or [t1sexo]='2' or [t1qsexo]<>""""",,,,,,
t1dbgs,day_1_monday_daily_survey,"<font size=""5.5""><center>Games/<font color=""green"">Juegos</font>
</center></font>",descriptive,"<div class=""rich-text-field-label""><center><u>Instructions for Brain Games</u><br><br>Please make sure to play the 3 Brain Games 1) Digits, 2) Simon, and 3) Color Shape (CS) in <u>ONE SITTING</u> by clicking the game link below. <br>Play <strong><u>ALL</u></strong> 3 games in your preferred language either in English <u>or</u> Spanish.</center> <p><br><br></p> <center><span style=""color: green;""><u>Instrucciones para los Juegos Mentales</u><br><br>Por favor juegue los 3 Juegos Mentales 1) Dígitos, 2) Simón, y 3) Color Forma (CS) en una <u> SOLA SENTADA</u> haciendo clic en el enlace de abajo.<br>Juegue <strong><u>TODOS</u></strong> los 3 juegos en su idioma preferido ya sea en inglés <u>o</u> español.</span></center></div>",,,,,,,,,,,,,
t1bgs,day_1_monday_daily_survey,,radio,"<font size=""5.5""> Do you want to play the 3 Brain Games in English or Spanish?

<span style = ""color:green"">¿Prefiere jugar los 3 Juegos Mentales en español o inglés?
</span> </font>","1, <font size=""4.5"">1 Brain Games in English</a><br><span style = ""color:green"">Juegos Mentales en inglés</span> | 2, <font size=""4.5"">2 Brain Games in Spanish</a><br><span style = ""color:green"">Juegos Mentales en español</span>",,,,,,,y,,,,,
t1bgsfle,day_1_monday_daily_survey,,text,"URL Day 1 - English:",,,,,,,,,,,,," @HIDDEN"
t1vertic,day_1_monday_daily_survey,,radio,"<font size=""5.5""> Playing the Brain Games requires you to have vertical (portrait) mode on. Can you confirm that your vertical (portrait) mode lock is on so that it prevents your screen from turning horizontal (landscape)?

<span style = ""color:green"">Jugar los Juegos Mentales requiere que tenga la pantalla en modo vertical. ¿Puede confirmar que el bloqueo de orientación vertical esté activado para evitar que la pantalla gire horizontalmente?
</span> </font>","1, <font size=""4.5"">1 Yes, I confirm that vertical (portrait) mode is on<br><span style = ""color:green"">Sí, confirmo que tengo activado el modo vertical</span></font>",,,,,,,,,,,,
t1bgsle,day_1_monday_daily_survey,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: white; border: 1px solid black;""><center><br><br><a href=""https://cognitive-games-a282b.web.app/pre-experiment/?PARTICIPANT_ID=[participant_id]&STUDY_ID=projectseed_production_march2023&DAY=1&L=eng&ROLE=adolescent&START_DATE=[startdt]&MIX=1"" target=""_blank"" rel=""noopener"">Click here to play the 3 Brain Games in English<br><br><br></a></center></div></div>",,,,,,,[t1bgs]='1',,,,,,
t1bgsfls,day_1_monday_daily_survey,,text,"URL Day 1 - Spanish:",,,,,,,,,,,,," @HIDDEN"
